trial,miss_distance_m,final_altitude_m,flight_time_s,terrain_override_fired,control_saturated,rms_q_error,rms_theta_error,LAT_INIT,LON_INIT,LAT_TARGET,LON_TARGET,target_downrange_m
63,575.362879502667,792.559194337259,76.4,1,0,0.00443758341713524,0.0113175967980814,34.2404045246431,-119.441686817363,34.6674287729614,-118.773835741931,77487.2364220352
64,551.74038480766,757.612719348046,78.9,1,0,0.00469233909364738,0.0250004624479788,34.2137456686505,-119.457399472434,34.6559688475236,-118.771989130847,79807.1916630265
65,669.453885243178,783.677990617287,78.7,1,0,0.00482032891496388,0.0436296526840584,34.2267246877122,-119.4547811569,34.6672896344044,-118.766265638965,79911.2694293932
66,637.30922677278,780.495495797877,78.1,1,0,0.00440211841139999,0.010035319102068,34.229786107043,-119.452340101348,34.6585384858873,-118.760937271535,79326.0360557732
67,609.274426634429,778.472131886763,80.2,1,0,0.00463789633796151,0.0249156567614596,34.2259034289472,-119.459844379427,34.6708981789417,-118.755236025987,81379.8439618411
68,583.367410034654,781.127120794207,80,1,0,0.00519498411158347,0.0164726592319218,34.2196459222658,-119.473921667617,34.6651038581359,-118.774086024258,81067.9634903581
69,713.22535553256,785.126838282151,78.8,1,0,0.00454245477046848,0.022307793705208,34.231675695955,-119.449176649621,34.671461090732,-118.756433647003,80162.2253655652
70,625.085957988565,780.461098919766,78.4,1,0,0.00444550883488908,0.0103505396965725,34.2223775741954,-119.450951109097,34.6652971153805,-118.769108902596,79592.3170776067
71,508.507873956305,784.79107251673,75.5,1,0,0.00451063542224815,0.0276618543359317,34.2409775202646,-119.44135606106,34.6470200449518,-118.772135105543,76186.9423457075
72,528.063863130047,768.394774521824,77.1,1,0,0.00438003550164592,0.0100525243948821,34.2314727272364,-119.452306399392,34.654089241437,-118.774207592214,77941.986935419
73,527.594360670717,755.598683737759,77.1,1,0,0.00454261191077821,0.0499827533502635,34.2321466956219,-119.456440699384,34.6445576826136,-118.770060064243,77878.3222907584
74,542.249261073129,777.548437503711,78.3,1,0,0.00437353785209707,0.010759819258285,34.2294609347773,-119.464544848128,34.6614121166753,-118.7779835878,79186.1174189947
75,569.78160474327,788.546125816116,78.2,1,0,0.00470689721449186,0.0110134004051297,34.2382654501114,-119.464457409077,34.6709669784656,-118.777247470018,79278.5162938418
76,507.283409351166,774.730448995217,75.4,1,0,0.00433520143370167,0.0209118928207585,34.2509184471874,-119.446416778386,34.6507339259634,-118.77235573686,76134.4323060606
